tweet_id,tweet_url,tweet_text,stance,persuasiveness,split
1148501065308004357,https://t.co/VQP1FHaWAg,"Let's McGyver some Sanity in America!

You are not pro-life if you lock children in cages, deny them lunch at school, or cut programs for the disabled!

And, good Christians don't applaud rapists, con men, &amp; hate!

Hate Fixes NADDA! It just creates more problems!

🧰📐🔎⛏️🔧🛠️🧰 https://t.co/VQP1FHaWAg",support,no,train
1103872992537276417,https://t.co/zsyXYSeBkp,A child deserves a chance at life. A child deserves a future. A child deserves to be loved. We will always fight for the innocent unborn. #ProLife https://t.co/zsyXYSeBkp,oppose,no,train
1151528583623585794,https://t.co/qSWvDX5MnM,"Dear prolifers: girls as young as 10, 11, 12 and so on should NOT be giving birth. Forcing them to stay pregnant is harmful both mentally and physically. They are CHILDREN who you are putting at risk. You all are sick #ProLife #ProChoice https://t.co/qSWvDX5MnM",support,no,train
1100166844026109953,https://t.co/hxH8tFIHUu,The many States will attempt to amend their constitutions to give the fetus  #HumanRights. Many people vote “yes” to these amendments and not realize what is truly at stake here. Women are being forced to give up their right to control their bodies... https://t.co/hxH8tFIHUu https://t.co/ueRoftJIBQ,support,no,train
1021830413550067713,https://t.co/5whvEEtoQR,"Every #abortion is wrong, no matter what method is used; every child must be protected. #prolife #prochoice #lovethemboth https://t.co/5whvEEtoQR",oppose,yes,train
1101125627984392192,https://t.co/ANPKCpAMEF,"In today's addition of ""Let's Complicate It"", we look at adoption. Often pro-life proponents, taut adoption as an alternative to abortions that 'harms no one', but let's complicate that idea! 
https://t.co/ANPKCpAMEF https://t.co/IYPtyZRaGC",support,no,train
1021869652329213952,https://t.co/goW1ikHTrP,"FDA Report: Abortion Pill Kills 22 Women, Injures Thousands More: At least 22 women in America have died and thousands more have experienced serious complications from taking abortion pills, according to updated guidance from the Food and Drug… https://t.co/goW1ikHTrP https://t.co/pTEa7vDbxz",oppose,yes,train
1151273204926881795,https://t.co/yJrve4Fv65,"People must be free to congregate for prayer on any public grounds. #BufferZones are an assault on #religiousfreedom. And they deprive women in crisis pregnancy of the vital support they so desperately need. 

#NoBufferZones #ProlifeIsProwoman  #Prolife https://t.co/yJrve4Fv65",oppose,no,train
1022558421046976512,https://t.co/1pJyi3StP7,"""We also know that such restrictions would never be placed on men, which exposes as false the notion that women have all the rights and protections of male citizens of the United States.”
#WGSS chair notes implications of moves to undermine Roe v. Wade. https://t.co/1pJyi3StP7 https://t.co/aXe4FMdZsc",support,no,train
1141294560989143040,https://t.co/yQjXkxtcrh,We provide safe and pain-free abortion pills in Sandton and womb cleaning pills at affordable prices. Call to order or deliveries at +27727793390  https://t.co/yQjXkxtcrh https://t.co/PYvlz1f0Se,support,no,train
