target_id	label	sentence	gloss	sense_key
0|0	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : an authoritative rule	regulation.n.01
0|1	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : a principle or condition that customarily governs behavior	rule.n.01
0|2	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : the state of being controlled or governed	regulation.n.03
0|3	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered	regulation.n.04
0|4	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : the act of bringing to uniformity; making regular	regulation.n.05
0|5	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : the act of controlling or directing according to rule	regulation.n.06
0|6	0	48 years of roe v. wade " the " regulation " of abortion is the most damaging to those who already face multiple barriers in health care and other forms of discrimination . We must continue to protect abortion access for everyone across the country . .	regulation : prescribed by or according to regulation	regulation.s.01
1|0	0	abortion is a violent attack against an innocent unborn baby ! ! no " wonder " dems are so unhinged , they learned it ! ! .	wonder : the feeling aroused by something strange and surprising	wonder.n.01
1|1	0	abortion is a violent attack against an innocent unborn baby ! ! no " wonder " dems are so unhinged , they learned it ! ! .	wonder : something that causes feelings of wonder	wonder.n.02
1|2	0	abortion is a violent attack against an innocent unborn baby ! ! no " wonder " dems are so unhinged , they learned it ! ! .	wonder : a state in which you want to learn more about something	curiosity.n.01
1|3	0	abortion is a violent attack against an innocent unborn baby ! ! no " wonder " dems are so unhinged , they learned it ! ! .	wonder : have a wish or desire to know something	wonder.v.01
1|4	0	abortion is a violent attack against an innocent unborn baby ! ! no " wonder " dems are so unhinged , they learned it ! ! .	wonder : place in doubt or express doubtful speculation	wonder.v.02
1|5	0	abortion is a violent attack against an innocent unborn baby ! ! no " wonder " dems are so unhinged , they learned it ! ! .	wonder : be amazed at	wonder.v.03
2|0	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : a very young child (birth to 1 year) who has not yet begun to walk or talk	baby.n.01
2|1	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : the youngest member of a group (not necessarily young)	baby.n.02
2|2	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : an immature childish person	child.n.03
2|3	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : an unborn child; a human fetus	baby.n.04
2|4	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : (slang) sometimes used as a term of address for attractive young women	baby.n.05
2|5	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : a very young mammal	baby.n.06
2|6	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : a project of personal concern to someone	baby.n.07
2|7	0	Every unborn " baby " is WORTHY to be given the chance to live . Yes , even those conceived in the most horrific situations like rape . .	baby : treat with excessive indulgence	pamper.v.01
3|0	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : an important question that is in dispute and must be settled	issue.n.01
3|1	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : one of a series published periodically	issue.n.02
3|2	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : some situation or event that is thought about	topic.n.02
3|3	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : the act of providing an item for general use or for official purposes (usually in quantity)	issue.n.04
3|4	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : supplies (as food or clothing or ammunition) issued by the government	issue.n.05
3|5	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : the income or profit arising from such transactions as the sale of land or other property	return.n.06
3|6	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : a phenomenon that follows and is caused by some previous phenomenon	consequence.n.01
3|7	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : the immediate descendants of a person	offspring.n.01
3|8	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : the becoming visible	emergence.n.02
3|9	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : an opening that permits escape or release	exit.n.01
3|10	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : the act of issuing printed materials	issue.n.11
3|11	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : prepare and issue for public distribution or sale	publish.v.02
3|12	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : circulate or distribute or equip with	issue.v.02
3|13	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : bring out an official document (such as a warrant)	issue.v.03
3|14	0	Overturning Roe v. Wade is n't just an " issue " for pregnant people 's physical safety - it would also create huge systemic problems in terms of mass incarceration , economic injustice , and racial injustice . .	issue : come out of	issue.v.04
