target_id	label	sentence	gloss	sense_key
0|0	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : an appraisal of the value of something	evaluation.n.02
0|1	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : act of ascertaining or fixing the value or worth of	evaluation.n.01
0|2	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : standing or position on a scale	rating.n.03
0|3	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : rank in a military organization	military_rank.n.01
0|4	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : assign a rank or rating to	rate.v.01
0|5	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : be worthy of or have a certain rating	rate.v.02
0|6	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : estimate the value of	rate.v.03
0|7	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : desert one's party or group of friends, for example, for one's personal advantage	rat.v.01
0|8	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : employ scabs or strike breakers in	rat.v.02
0|9	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : take the place of work of someone on strike	fink.v.01
0|10	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : give (hair) the appearance of being fuller by using a rat	rat.v.04
0|11	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : catch rats, especially with dogs	rat.v.05
0|12	0	Honored to receive an " A " " rating " from on their National Pro - Life Scorecard . The most basic right we have is the right to life , and we must never stop working to protect the unborn . .	rating : give away information about somebody	denounce.v.04
1|0	0	Next Tuesday this month you have the opportunity to uphold college student access rights laws that expand access to abortion across the state . Join us at the FBI from 6 P.M. to 8 P.M. on March " 5th " . .	5th : coming next after the fourth and just before the sixth in position	fifth.s.01
2|0	0	" Millions " of women around the world have done safe medical abortions at home . You can too . .	Millions : the number that is represented as a one followed by 6 zeros	million.n.01
2|1	0	" Millions " of women around the world have done safe medical abortions at home . You can too . .	Millions : a very large indefinite number (usually hyperbole)	million.n.02
