target_id	label	sentence	gloss	sense_key
0|0	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a socially awkward or tactless act	faux_pas.n.01
0|1	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.	slip.n.02
0|2	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : potter's clay that is thinned and used for coating or decorating ceramics	slip.n.03
0|3	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a part (sometimes a root or leaf or bud) removed from a plant to propagate a new plant through rooting or grafting	cutting.n.02
0|4	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a young and slender person	slip.n.05
0|5	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a place where a craft can be made fast	mooring.n.01
0|6	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : an accidental misstep threatening (or causing) a fall	slip.n.07
0|7	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a slippery smoothness	slickness.n.03
0|8	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : artifact consisting of a narrow flat piece of material	strip.n.02
0|9	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a small sheet of paper	slip.n.10
0|10	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a woman's sleeveless undergarment	chemise.n.01
0|11	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : bed linen consisting of a cover for a pillow	case.n.19
0|12	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : an unexpected slide	skid.n.03
0|13	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : a flight maneuver; aircraft slides sideways in the air	slip.n.14
0|14	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : the act of avoiding capture (especially by cunning)	slip.n.15
0|15	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : move stealthily	steal.v.02
0|16	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : insert inconspicuously or quickly or quietly	slip.v.02
0|17	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : move obliquely or sideways, usually in an uncontrolled manner	skid.v.04
0|18	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : get worse	slip.v.04
0|19	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : move smoothly and easily	slip.v.05
0|20	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : to make a mistake or be incorrect	err.v.01
0|21	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : pass on stealthily	slip.v.07
0|22	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : move easily	slip.v.08
0|23	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : cause to move with a smooth or sliding motion	slip.v.09
0|24	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : pass out of one's memory	slip.v.10
0|25	0	Today I filed HB 123 , a Bill known to freedom - loving Americans as Constitutional Carry . This Bill deletes the requirement that a citizen obtain a permission " slip " from government before carrying a firearm . Our fundamental Second Amendment right should not be limited by government . .	slip : move out of position	dislocate.v.01
1|0	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : power to direct or determine	control.n.01
1|1	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : a relation of constraint of one entity (thing or person or group) by another	control.n.02
1|2	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : (physiology) regulation or maintenance of a function or action or reflex etc	control.n.03
1|3	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : a standard against which other conditions can be compared in a scientific experiment	control_condition.n.01
1|4	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : the activity of managing or exerting control over something	control.n.05
1|5	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : the state that exists when one person or group has power over another	dominance.n.02
1|6	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : discipline in personal and social activities	restraint.n.02
1|7	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : great skillfulness and knowledge of some subject or activity	command.n.06
1|8	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : a mechanism that controls the operation of a machine	control.n.09
1|9	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : a spiritual agency that is assumed to assist the medium during a seance	control.n.10
1|10	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : the economic policy of controlling or limiting or curbing prices or wages etc.	control.n.11
1|11	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : exercise authoritative control or power over	control.v.01
1|12	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : lessen the intensity of; temper; hold in restraint; hold or keep within limits	control.v.02
1|13	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : handle and cause to function	operate.v.03
1|14	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : control (others or oneself) or influence skillfully, usually to one's advantage	manipulate.v.05
1|15	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : check or regulate (a scientific experiment) by conducting a parallel experiment or comparing with another standard	control.v.05
1|16	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : verify by using a duplicate register for comparison	control.v.06
1|17	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : be careful or certain to do something; make certain of something	see.v.10
1|18	0	Gun " control " - because government ca n't load armed people into boxcars . .	control : have a firm understanding or knowledge of; be on top of	master.v.04
2|0	0	Soon there will be no one left to investigate " rape " crimes or gather evidence of domestic violence - and most of Seattle 's efforts demanded gun control that leaves the most vulnerable as victims of violent , life - altering crime . .	rape : Eurasian plant cultivated for its seed and as a forage crop	rape.n.01
2|1	0	Soon there will be no one left to investigate " rape " crimes or gather evidence of domestic violence - and most of Seattle 's efforts demanded gun control that leaves the most vulnerable as victims of violent , life - altering crime . .	rape : the act of despoiling a country in warfare	rape.n.02
2|2	0	Soon there will be no one left to investigate " rape " crimes or gather evidence of domestic violence - and most of Seattle 's efforts demanded gun control that leaves the most vulnerable as victims of violent , life - altering crime . .	rape : the crime of forcing a woman to submit to sexual intercourse against her will	rape.n.03
2|3	0	Soon there will be no one left to investigate " rape " crimes or gather evidence of domestic violence - and most of Seattle 's efforts demanded gun control that leaves the most vulnerable as victims of violent , life - altering crime . .	rape : force (someone) to have sex against their will	rape.v.01
2|4	0	Soon there will be no one left to investigate " rape " crimes or gather evidence of domestic violence - and most of Seattle 's efforts demanded gun control that leaves the most vulnerable as victims of violent , life - altering crime . .	rape : destroy and strip of its possession	rape.v.02
3|0	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : a characteristic state or mode of living	life.n.01
3|1	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : the experience of being alive; the course of human events and activities	life.n.02
3|2	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : the course of existence of an individual; the actions and events that occur in living	life.n.03
3|3	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : the condition of living or the state of being alive	animation.n.01
3|4	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : the period during which something is functional (as between birth and death)	life.n.05
3|5	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : the period between birth and the present time	life.n.06
3|6	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : the period from the present until death	life.n.07
3|7	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : a living person	life.n.08
3|8	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : animation and energy in action or expression	liveliness.n.02
3|9	0	Proud and grateful you 're my deputy background check saving " lives " . .	lives : living things collectively	life.n.10
