target_id	label	sentence	gloss	sense_key
0|0	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)	gun.n.01
0|1	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : large but transportable armament	artillery.n.01
0|2	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : a person who shoots a gun (as regards their ability)	gunman.n.02
0|3	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : a professional killer who uses a gun	gunman.n.01
0|4	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : a hand-operated pump that resembles a revolver; forces grease into parts of a machine	grease-gun.n.01
0|5	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : a pedal that controls the throttle valve	accelerator.n.01
0|6	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : the discharge of a firearm as signal or as a salute in military ceremonies	gun.n.07
0|7	0	Americas " gun " violence problem is back to pre pandemic highs . .	gun : shoot with a gun	gun.v.01
1|0	0	I 'm calling complete bullshit on this . They 're getting their whole narrative from the 90s , and I see zero sources here . If militias are doing anything , it 's probably complaining about the price of ammo now that more " people " have discovered that the 2nd Amendment exists . .	people : (plural) any group of human beings (men or women or children) collectively	people.n.01
1|1	0	I 'm calling complete bullshit on this . They 're getting their whole narrative from the 90s , and I see zero sources here . If militias are doing anything , it 's probably complaining about the price of ammo now that more " people " have discovered that the 2nd Amendment exists . .	people : the body of citizens of a state or country	citizenry.n.01
1|2	0	I 'm calling complete bullshit on this . They 're getting their whole narrative from the 90s , and I see zero sources here . If militias are doing anything , it 's probably complaining about the price of ammo now that more " people " have discovered that the 2nd Amendment exists . .	people : members of a family line	people.n.03
1|3	0	I 'm calling complete bullshit on this . They 're getting their whole narrative from the 90s , and I see zero sources here . If militias are doing anything , it 's probably complaining about the price of ammo now that more " people " have discovered that the 2nd Amendment exists . .	people : the common people generally	multitude.n.03
1|4	0	I 'm calling complete bullshit on this . They 're getting their whole narrative from the 90s , and I see zero sources here . If militias are doing anything , it 's probably complaining about the price of ammo now that more " people " have discovered that the 2nd Amendment exists . .	people : fill with people	people.v.01
1|5	0	I 'm calling complete bullshit on this . They 're getting their whole narrative from the 90s , and I see zero sources here . If militias are doing anything , it 's probably complaining about the price of ammo now that more " people " have discovered that the 2nd Amendment exists . .	people : furnish with people	people.v.02
2|0	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : the first of three divisions of the Hebrew Scriptures comprising the first five books of the Hebrew Bible considered as a unit	torah.n.02
2|1	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : the collection of rules imposed by authority	law.n.01
2|2	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : legal document setting forth rules governing a particular kind of activity	law.n.02
2|3	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society	law.n.03
2|4	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : a generalization that describes recurring facts or events in nature	law.n.04
2|5	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do	jurisprudence.n.01
2|6	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system	law.n.06
2|7	0	I see an immediate attack on the 2nd amendment , mark my word , by June , all owners of automatic and semi - automatic military style weapons will be deemed criminals and will face the full force of the new restrictive " laws " .. this action is number one on their agenda .. .	laws : the force of policemen and officers	police.n.01
3|0	0	Gun safety is n't just knowing how to handle a gun properly , it 's also about keeping them out of the wrong hands . Storing firearms safely is a " must " in order to keep children safe , preventing injuries & amp ; keeping them out of the hands of a criminal . .	must : a necessary or essential thing	must.n.01
3|1	0	Gun safety is n't just knowing how to handle a gun properly , it 's also about keeping them out of the wrong hands . Storing firearms safely is a " must " in order to keep children safe , preventing injuries & amp ; keeping them out of the hands of a criminal . .	must : grape juice before or during fermentation	must.n.02
3|2	0	Gun safety is n't just knowing how to handle a gun properly , it 's also about keeping them out of the wrong hands . Storing firearms safely is a " must " in order to keep children safe , preventing injuries & amp ; keeping them out of the hands of a criminal . .	must : the quality of smelling or tasting old or stale or mouldy	mustiness.n.01
3|3	0	Gun safety is n't just knowing how to handle a gun properly , it 's also about keeping them out of the wrong hands . Storing firearms safely is a " must " in order to keep children safe , preventing injuries & amp ; keeping them out of the hands of a criminal . .	must : highly recommended	must.s.01
4|0	0	My is to urge to prioritize legislation to prohibit the manufacture & amp ; sale of ghost guns . These do - it - yourself " weapons " can be downloaded or purchased online , bypassing the background check system that keeps Maryland safe . .	weapons : any instrument or instrumentality used in fighting or hunting	weapon.n.01
4|1	0	My is to urge to prioritize legislation to prohibit the manufacture & amp ; sale of ghost guns . These do - it - yourself " weapons " can be downloaded or purchased online , bypassing the background check system that keeps Maryland safe . .	weapons : a means of persuading or arguing	weapon.n.02
5|0	0	Thank you for prioritizing gun " safety " and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church . -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $ 200 prepaid card + a free iPad . .	safety : the state of being certain that adverse effects will not be caused by some agent under defined conditions	safety.n.01
5|1	0	Thank you for prioritizing gun " safety " and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church . -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $ 200 prepaid card + a free iPad . .	safety : a safe place	safety.n.02
5|2	0	Thank you for prioritizing gun " safety " and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church . -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $ 200 prepaid card + a free iPad . .	safety : a device designed to prevent injury or accidents	guard.n.03
5|3	0	Thank you for prioritizing gun " safety " and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church . -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $ 200 prepaid card + a free iPad . .	safety : (baseball) the successful act of striking a baseball in such a way that the batter reaches base safely	base_hit.n.01
5|4	0	Thank you for prioritizing gun " safety " and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church . -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $ 200 prepaid card + a free iPad . .	safety : contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse	condom.n.01
5|5	0	Thank you for prioritizing gun " safety " and hosting this Gun Buyback on October 24 at St. Lukes Episcopal Church . -NO QUESTIONS ASKED- People can turn in operable handguns or assault rifles and receive a $ 200 prepaid card + a free iPad . .	safety : a score in American football; a player is tackled behind his own goal line	safety.n.06
6|0	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)	gun.n.01
6|1	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : large but transportable armament	artillery.n.01
6|2	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : a person who shoots a gun (as regards their ability)	gunman.n.02
6|3	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : a professional killer who uses a gun	gunman.n.01
6|4	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : a hand-operated pump that resembles a revolver; forces grease into parts of a machine	grease-gun.n.01
6|5	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : a pedal that controls the throttle valve	accelerator.n.01
6|6	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : the discharge of a firearm as signal or as a salute in military ceremonies	gun.n.07
6|7	0	As if we needed more evidence that worry over " gun " regulation is racist at its center : .	gun : shoot with a gun	gun.v.01
7|0	0	No military training required , as long as you have the $ $ and can pass a background " check " , you can buy one of the most devastating sniper rifles ever made . And we do nt need to update our gun control laws ? .	check : a written order directing a bank to pay money	check.n.01
7|1	0	No military training required , as long as you have the $ $ and can pass a background " check " , you can buy one of the most devastating sniper rifles ever made . And we do nt need to update our gun control laws ? .	check : an appraisal of the state of affairs	assay.n.01
7|2	0	No military training required , as long as you have the $ $ and can pass a background " check " , you can buy one of the most devastating sniper rifles ever made . And we do nt need to update our gun control laws ? .	check : the bill in a restaurant	check.n.03
7|3	0	No military training required , as long as you have the $ $ and can pass a background " check " , you can buy one of the most devastating sniper rifles ever made . And we do nt need to update our gun control laws ? .	check : the state of inactivity following an interruption	arrest.n.02
7|4	0	No military training required , as long as you have the $ $ and can pass a background " check " , you can buy one of the most devastating sniper rifles ever made . And we do nt need to update our gun control laws ? .	check : additional proof that something that was believed (some fact or hypothesis or theory) is correct	confirmation.n.01
